host_neighbourhood,suburb
Amsterdam Centrum,Other
Anaheim,Other
Arlington Ridge,Other
Balham,Other
Ballsbridge,Other
Ban Rim Pha,Other
Baumettes,Other
Bela Vista,Bella Vista
Beverly Park,Beverley Park
Brighton-Le-Sands,Brighton-le-Sands
Brixton,Other
Brockley,Other
Bugis/Kampong Glam,Other
Bushwick,Other
Cannes,Other
Canonbury,Other
Capucins - Victoire,Other
Central Area,Other
Central Business District,Sydney
Chinatown,Sydney
City Centre,Sydney
Coral Way,Other
Da'an,Other
Dalston,Other
Dansaert,Other
Deceyville,Other
Denpasar,Other
Dreta de l'Eixample,Other
Earls Court,Other
Fortress Hill,Other
Gangnam,Other
Gramercy Park,Other
Hammersmith,Other
Hampstead,Other
Hilo,Other
Isle of Dogs,Other
Kaunlaran/Valencia,Other
Kreuzberg,Other
Kuta Village,Other
LB of Brent,Other
LB of Camden,Other
LB of Islington,Other
Ludwigsvorstadt - Isarvorstadt,Other
Merkaz HaIr,Other
Mescal Corridor NW,Other
Mid-Levels,Other
Midtown East,Other
Mitte,Other
Monceau,Other
Mong Kok,Other
Murray Hill,Other
Núñez,Other
Oud-West,Other
Palermo,Other
Pasir Ris,Other
Poblados Marítimos,Other
Prenzlauer Berg,Other
Punta Cancun,Other
Ratchathewi/Phaya Thai,Other
Rifredi,Other
Saint Peters,Other
Santa Catarina,Other
Shabazi,Other
Sheung Wan,Other
Soho,Other
Södermalm,Other
Tai Ping Shan,Other
The Liberties,Other
Tsim Sha Tsui,Other
Ubud,Other
Vaugirard,Other
Vijay Vihar Phase II,Other
Waverly,Waverley
West Village,Other
Whitechapel/Brick Lane,Other
Williamsburg,Other
XI Arrondissement,Other
Žižkov,Other
None,Other
